,DATE,INPUT
0,2020-01-01,128038.0
1,2020-01-02,300482.0
2,2020-01-03,304700.0
3,2020-01-04,97972.0
4,2020-01-05,78773.0
5,2020-01-06,297741.0
6,2020-01-07,284226.0
7,2020-01-08,299988.0
8,2020-01-09,310847.0
9,2020-01-10,309680.0
10,2020-01-11,102340.0
11,2020-01-12,81576.0
12,2020-01-13,305392.0
13,2020-01-14,302300.0
14,2020-01-15,298438.0
15,2020-01-16,297774.0
16,2020-01-17,298870.0
17,2020-01-18,102743.0
18,2020-01-19,81374.0
19,2020-01-20,301201.0
20,2020-01-21,307531.0
21,2020-01-22,306900.0
22,2020-01-23,299076.0
23,2020-01-24,86179.0
24,2020-01-25,45026.0
25,2020-01-26,58988.0
26,2020-01-27,72157.0
27,2020-01-28,293352.0
28,2020-01-29,309247.0
29,2020-01-30,312046.0
30,2020-01-31,310617.0
31,2020-02-01,99639.0
32,2020-02-02,72973.0
33,2020-02-03,303340.0
34,2020-02-04,309664.0
35,2020-02-05,276502.0
36,2020-02-06,287953.0
37,2020-02-07,297570.0
38,2020-02-08,93627.0
39,2020-02-09,71720.0
40,2020-02-10,304350.0
41,2020-02-11,303730.0
42,2020-02-12,302613.0
43,2020-02-13,312444.0
44,2020-02-14,313364.0
45,2020-02-15,102542.0
46,2020-02-16,75388.0
47,2020-02-17,277531.0
48,2020-02-18,306992.0
49,2020-02-19,308894.0
50,2020-02-20,309492.0
51,2020-02-21,304620.0
52,2020-02-22,90983.0
53,2020-02-23,66224.0
54,2020-02-24,289058.0
55,2020-02-25,280700.0
56,2020-02-26,305108.0
57,2020-02-27,304550.0
58,2020-02-28,300462.0
59,2020-02-29,73638.0
60,2020-03-01,58206.0
61,2020-03-02,302278.0
62,2020-03-03,301027.0
63,2020-03-04,305522.0
64,2020-03-05,307804.0
65,2020-03-06,307058.0
66,2020-03-07,81484.0
67,2020-03-08,59426.0
68,2020-03-09,304580.0
69,2020-03-10,281966.0
70,2020-03-11,307412.0
71,2020-03-12,304648.0
72,2020-03-13,303884.0
73,2020-03-14,80953.0
74,2020-03-15,59742.0
75,2020-03-16,303314.0
76,2020-03-17,301556.0
77,2020-03-18,301715.0
78,2020-03-19,301581.0
79,2020-03-20,307453.0
80,2020-03-21,86422.0
81,2020-03-22,65375.0
82,2020-03-23,301774.0
83,2020-03-24,302091.0
84,2020-03-25,303961.0
85,2020-03-26,306587.0
86,2020-03-27,301714.0
87,2020-03-28,85024.0
88,2020-03-29,63003.0
89,2020-03-30,301851.0
90,2020-03-31,309042.0
91,2020-04-01,309477.0
92,2020-04-02,300011.0
93,2020-04-03,303643.0
94,2020-04-04,84779.0
95,2020-04-05,59702.0
96,2020-04-06,301762.0
97,2020-04-07,299246.0
98,2020-04-08,305363.0
99,2020-04-09,312044.0
100,2020-04-10,311487.0
101,2020-04-11,88107.0
102,2020-04-12,64886.0
103,2020-04-13,304356.0
104,2020-04-14,305785.0
105,2020-04-15,86169.0
106,2020-04-16,296027.0
107,2020-04-17,289779.0
108,2020-04-18,84310.0
109,2020-04-19,69577.0
110,2020-04-20,303816.0
111,2020-04-21,303361.0
112,2020-04-22,303935.0
113,2020-04-23,301096.0
114,2020-04-24,307747.0
115,2020-04-25,97506.0
116,2020-04-26,73481.0
117,2020-04-27,299321.0
118,2020-04-28,307136.0
119,2020-04-29,295590.0
120,2020-04-30,97511.0
121,2020-05-01,191640.0
122,2020-05-02,67933.0
123,2020-05-03,68393.0
124,2020-05-04,276885.0
125,2020-05-05,82760.0
126,2020-05-06,302125.0
127,2020-05-07,305214.0
128,2020-05-08,305837.0
129,2020-05-09,89828.0
130,2020-05-10,64778.0
131,2020-05-11,298235.0
132,2020-05-12,304006.0
133,2020-05-13,306046.0
134,2020-05-14,308735.0
135,2020-05-15,289128.0
136,2020-05-16,89608.0
137,2020-05-17,71437.0
138,2020-05-18,301507.0
139,2020-05-19,286487.0
140,2020-05-20,309344.0
141,2020-05-21,307501.0
142,2020-05-22,307854.0
143,2020-05-23,97171.0
144,2020-05-24,74070.0
145,2020-05-25,304887.0
146,2020-05-26,304057.0
147,2020-05-27,305005.0
148,2020-05-28,304437.0
149,2020-05-29,304647.0
150,2020-05-30,97391.0
151,2020-05-31,72716.0
152,2020-06-01,298447.0
153,2020-06-02,304387.0
154,2020-06-03,299897.0
155,2020-06-04,293213.0
156,2020-06-05,297123.0
157,2020-06-06,99357.0
158,2020-06-07,69590.0
159,2020-06-08,290330.0
160,2020-06-09,292357.0
161,2020-06-10,292576.0
162,2020-06-11,294466.0
163,2020-06-12,296739.0
164,2020-06-13,96344.0
165,2020-06-14,71270.0
166,2020-06-15,291536.0
167,2020-06-16,295418.0
168,2020-06-17,283882.0
169,2020-06-18,293603.0
170,2020-06-19,300561.0
171,2020-06-20,99523.0
172,2020-06-21,73354.0
173,2020-06-22,291315.0
174,2020-06-23,300216.0
175,2020-06-24,295285.0
176,2020-06-25,295136.0
177,2020-06-26,302302.0
178,2020-06-27,101465.0
179,2020-06-28,77275.0
180,2020-06-29,294783.0
181,2020-06-30,272934.0
182,2020-07-01,286611.0
183,2020-07-02,295934.0
184,2020-07-03,297545.0
185,2020-07-04,93897.0
186,2020-07-05,74489.0
187,2020-07-06,289444.0
188,2020-07-07,290476.0
189,2020-07-08,296591.0
190,2020-07-09,291981.0
191,2020-07-10,282432.0
192,2020-07-11,95150.0
193,2020-07-12,74696.0
194,2020-07-13,273552.0
195,2020-07-14,293856.0
196,2020-07-15,296071.0
197,2020-07-16,289188.0
198,2020-07-17,294382.0
199,2020-07-18,99264.0
200,2020-07-19,77327.0
201,2020-07-20,272703.0
202,2020-07-21,294214.0
203,2020-07-22,274003.0
204,2020-07-23,281550.0
205,2020-07-24,291257.0
206,2020-07-25,101228.0
207,2020-07-26,78704.0
208,2020-07-27,294191.0
209,2020-07-28,288418.0
210,2020-07-29,284458.0
211,2020-07-30,291326.0
212,2020-07-31,289496.0
213,2020-08-01,96032.0
